row_type,chromosome,length_bp,window_size_bp,full_window_count,tail_remainder_bp,sequence_count_drop_tail,sequence_count_keep_pad,covered_bp_drop_tail,covered_bp_keep_pad,discarded_bp_drop_tail,padding_bp_keep_pad,coverage_drop_tail_pct,coverage_keep_pad_pct
chromosome,chr1,308452471,8192,37652,7287,37652,37653,308445184,308452471,7287,905,99.997637561,100.000000000
chromosome,chr2,243675191,8192,29745,4151,29745,29746,243671040,243675191,4151,4041,99.998296503,100.000000000
chromosome,chr3,238017767,8192,29054,7399,29054,29055,238010368,238017767,7399,793,99.996891409,100.000000000
chromosome,chr4,250330460,8192,30557,7516,30557,30558,250322944,250330460,7516,676,99.996997569,100.000000000
chromosome,chr5,226353449,8192,27631,297,27631,27632,226353152,226353449,297,7895,99.999868789,100.000000000
chromosome,chr6,181357234,8192,22138,2738,22138,22139,181354496,181357234,2738,5454,99.998490273,100.000000000
chromosome,chr7,185808916,8192,22681,6164,22681,22682,185802752,185808916,6164,2028,99.996682613,100.000000000
chromosome,chr8,182411202,8192,22266,8130,22266,22267,182403072,182411202,8130,62,99.995543037,100.000000000
chromosome,chr9,163004744,8192,19898,328,19898,19899,163004416,163004744,328,7864,99.999798779,100.000000000
chromosome,chr10,152435371,8192,18607,6827,18607,18608,152428544,152435371,6827,1365,99.995521381,100.000000000
total,TOTAL_CHR1_CHR10,2131846805,8192,260229,50837,260229,260239,2131795968,2131846805,50837,31083,99.997615354,100.000000000
